comment_id;concert_id;username;message;feeling_pos;feeling_neg;music_ref;external_ref;phys_react_intentional;phys_react_unintentional
ct_1;moby_ct_1;KinGiz;is it live a concert stream?;;;;;;
ct_5;moby_ct_2;Roland Jeske;Hello everybody! Lets enjoy the show!;x;;;;;
ct_6;moby_ct_3;guido bustamante wakamatsu;:eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:;x;;;;;
ct_7;moby_ct_4;Petra Benešová;Hello 🙌🏻:partying_face: woow 🙌🏻🙌🏻;x;;;;;
ct_11;moby_ct_5;Alexander Fleener;All profits for play25 shows going to charity;;;;x;;
ct_13;moby_ct_6;Alexander Dewispelaere;The concert got great reviews in the Belgian press.;x;;;x;;
ct_16;moby_ct_7;Eric;Well the stuff you can hear sounds good, except the stuff Moby is doing...;x;x;x;;;
ct_18;moby_ct_8;Tim Weibel;agree lol ;x;x;;;;
ct_19;moby_ct_9;Aleksandr;Nice! :smiling_face_with_heart_eyes:;x;;;;;
ct_20;moby_ct_10;Andrey Deruga;Thanks for the surprise. Very cool!!;x;;;;;
ct_22;moby_ct_11;T;👏🏻👏🏻👏🏻;x;;;;;
ct_24;moby_ct_12;Erik Van Muylem;still happy we can enjoy some of the concert;x;;;;;
ct_25;moby_ct_13;Alexander Dewispelaere;A trip down memory lane for most of the ppl there I suppose;x;x;;;;
ct_26;moby_ct_14;Petra Benešová;👏🏻👏🏻👏🏻;x;;;;;
ct_27;moby_ct_15;Lyli J;well he be playing lots of stuff :);x;;x;;;
ct_30;moby_ct_16;AntmanJr;he doesn't have tattoos anymore?;;;;x;;
ct_32;moby_ct_17;Alexander Dewispelaere;A full Sportpaleis will hold 17000;;;;x;;
ct_33;moby_ct_18;Petra Benešová;Great 🙌🏻🙌🏻energy :smiling_face_with_hearts:;x;;;;;
ct_34;moby_ct_19;Eric;This sounds absolutely terrible and empty;;x;x;;;
ct_41;moby_ct_20;Eric;@ARTE Concert Yes, I've seen lots of shows which were great! This one isn't sadly.;x;x;;x;;
ct_43;moby_ct_21;AntmanJr;Eric does hate watching not good for your brain;;x;;x;;
ct_44;moby_ct_22;el ricou;whick track is it plz;;;x;x;;
ct_46;moby_ct_23;quesaquòfil2b;:star_struck: Merci Arte Concert !! :smiling_face_with_hearts::face_blowing_a_kiss::face_blowing_a_kiss:;x;;;;;
ct_47;moby_ct_24;AntmanJr;it's go;;;x;;;
ct_48;moby_ct_25;Eric;Haha sorry I love Moby and the album Play, but this is just not what I was hoping for at all. Bye!;x;x;;;;
ct_53;moby_ct_26;Bernhard Wolf;:smiling_face_with_hearts:;x;;;;;
ct_55;moby_ct_27;Petra Benešová;💃🏻💃🏻💃🏻🙌🏻🙌🏻;x;;;;x;
ct_59;moby_ct_28;T;Thanks for broadcasting ;x;;;;;
ct_60;moby_ct_29;Alexander Dewispelaere;@ARTE Concert thanks for sharing this show;x;;;;;
ct_62;moby_ct_30;jiggrinder;1. My Weakness2. In My Heart3.Go;;;x;;;
ct_65;moby_ct_31;Ani Yeghoyan;inch es ba nayum;;;;;;
ct_66;moby_ct_32;Diego Olivera;CRACK!!;;;;;;
ct_69;moby_ct_33;KotlinTest;Dance everybody!;X;;;;x;
ct_81;moby_ct_34;Carell Cassey;:hand-pink-waving::hand-pink-waving::hand-pink-waving:;x;;;;;
ct_85;moby_ct_35;T;:face_screaming_in_fear::fire:;;x;;;;
ct_88;moby_ct_36;Sunny;:hand-pink-waving::person-turqouise-waving:;x;;;;;
ct_89;moby_ct_37;Peggy Heynen;I was there. What a night! :party_popper: Soooo good!!! :star_struck::musical_notes::collision::musical_notes::smiling_face_with_heart_eyes:;x;;;;;
ct_93;moby_ct_38;bruno michaux;:red_heart: :red_heart: ;x;;;;;
ct_94;moby_ct_39;Sporty Otter Pop (René Lilly);SO excited! It's finally Moby Nite;x;;;;;
ct_95;moby_ct_40;Denys Marunevych;:face-blue-smiling:;x;;;;;
ct_96;moby_ct_41;WARLOCK;ROCK THE BODIES;x;;x;;;
ct_98;moby_ct_42;Sporty Otter Pop (René Lilly);Been looking forward to watching this, since I saw the event go up!;x;;;;;
ct_100;moby_ct_43;Sporty Otter Pop (René Lilly);Evening Arte Concert!;x;;;;;
ct_101;moby_ct_44;jiggrinder;5. Flower / Find My Baby;;;x;;;
ct_103;moby_ct_45;Sporty Otter Pop (René Lilly);This guy i just special!!!!;x;;;;;
ct_105;moby_ct_46;Sporty Otter Pop (René Lilly);"I guess I am kinda traditional, I love ""Praise You"" best ";x;;x;;;
ct_107;moby_ct_47;Julieta Pusino;omg this was filmed on my birthday :grinning_face: ;x;;;x;;
ct_114;moby_ct_48;Steeve ORHANT;Merci arte :revolving_hearts::revolving_hearts::face_blowing_a_kiss::revolving_hearts::revolving_hearts::face_blowing_a_kiss::revolving_hearts::face_blowing_a_kiss::revolving_hearts:;x;;;;;
ct_115;moby_ct_49;Saggy🧑‍🔬;love u all:red_heart:;x;;;;;
ct_116;moby_ct_50;Jannis JaG;"Unfortunately he didn't play ""That's when I Reach for my Revolver"".";;x;x;;;
ct_118;moby_ct_51;Sporty Otter Pop (René Lilly);12 points from Germany tonight;x;;;x;;
ct_121;moby_ct_52;Sporty Otter Pop (René Lilly);It's great that people are here from everywhere-Global Arte Community in Musica;x;;;x;;
ct_124;moby_ct_53;F L;Woaw :slightly_smiling_face: ;x;;;;;
ct_125;moby_ct_54;Saggy🧑‍🔬;:green_heart::white_heart::red_heart:;x;;;;;
ct_127;moby_ct_55;ThePouffy;Good music has no frontier !;x;;;x;;
ct_130;moby_ct_56;Sporty Otter Pop (René Lilly);These singers are dang good;x;;x;;;
ct_132;moby_ct_57;Anne Zemmour;:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:;x;;;;;
ct_134;moby_ct_58;BrigadierSchmitt;Gone in 60 seconds;;;;x;;
ct_136;moby_ct_59;Saggy🧑‍🔬;the Best day of my year;x;;;x;;
ct_137;moby_ct_60;yuribass;greetings from Ccs-Vzla;x;;;x;;
ct_138;moby_ct_61;F L;:partying_face:;x;;;;;
ct_139;moby_ct_62;Saggy🧑‍🔬;hola Moby :face_blowing_a_kiss:;x;;;;;
ct_141;moby_ct_63;AntmanJr;Belgium is the best place;x;;;x;;
ct_142;moby_ct_64;Saggy🧑‍🔬;te amo :red_heart:;x;;;;;
ct_143;moby_ct_65;Sporty Otter Pop (René Lilly);He's so no frills! Just a guy! LOVE you Moby for that;x;;;x;;
ct_144;moby_ct_66;Sporty Otter Pop (René Lilly);YES-having a wonderful time so far;x;;;;;
ct_146;moby_ct_67;Carell Cassey;:face-fuchsia-wide-eyes:;x;;;;;
ct_151;moby_ct_68;Julian Reverse;Nadia :smiling_face_with_hearts::red_heart::red_heart::red_heart::red_heart:;x;;x;;;
ct_152;moby_ct_69;Sascha Seyer;👍🏻👍🏻;x;;;;;
ct_153;moby_ct_70;Dmytro Rybak;:blue_heart:;;;;x;;
